职称 地区 公司资质 要求 薪资 福利
Python开发工程师(中级） 东莞-南城区 "民营公司 " " 本科  2年" 0.8-1万/月 " 五险一金 补充医疗保险 员工旅游 专业培训 "
Python开发工程师 青岛-即墨区 "民营公司 " " 大专  1年" 0.5-1万/月 " 五险一金 免费午餐 青岛市区班车 提供住宿 "
python开发助理 大连-高新园区 "民营公司 " " 大专  无需经验" 4.5-6千/月 " "
Python开发工程师 南京-玄武区 "民营公司 " " 大专  2年" 0.8-1万/月 " "
Python开发工程师助理 郑州 "民营公司 " " 中专  无需经验" 4.5-6千/月 " 五险一金 补充公积金 免费班车 专业培训 "
Python开发工程师急招 昆明-五华区 "民营公司 " " 大专  2年" 6-9千/月 " 交通补贴 餐饮补贴 通讯补贴 绩效奖金 "
Python开发工程师 杭州-西湖区 "民营公司 " " 大专  3-4年" 1.5-2万/月 " 周末双休 五险一金 绩效奖金 全勤奖 "
Python开发工程师 南京-秦淮区 "民营公司 " " 本科  3-4年" 1.5-2万/月 " 五险一金 补充医疗保险 交通补贴 绩效奖金 "
Python助理工程师 苏州-工业园区 "创业公司 " " 大专  无需经验" 4-7千/月 " 五险一金 餐饮补贴 年终奖金 "
Python/C++/开发/工程师/架构/金融 昆明 "民营公司 " " 本科  无需经验" 4.5-6千/月 " 周末双休 节日福利 公司自有食堂 员工旅游 "
"Python Web开发工程师" 杭州-滨江区 "上市公司 " " 本科  3-4年" 1.5-1.8万/月 " 五险一金 餐饮补贴 定期体检 年终奖金 "
Python开发工程师 大连-高新园区 "民营公司 " " 本科  2年" 0.8-1万/月 " "
Python开发工程师 无锡-无锡新区 "民营公司 " " 本科  3-4年" 0.6-1万/月 " 周末双休 弹性工作 五险一金 全勤奖 "
Python开发工程师 无锡-无锡新区 "民营公司 " " 本科  3-4年" 6-8千/月 " "
Java&Python工程师 长沙-天心区 "民营公司 " " 大专  无需经验" 5-7千/月 " 五险一金 员工旅游 餐饮补贴 绩效奖金 "
Python高级开发工程师 东莞-凤岗镇 "民营公司 " " 本科  2年" 2.5-3.5万/月 " 五险一金 餐饮补贴 补充医疗保险 补充公积金 "
Python开发工程师 武汉 "民营公司 " " 本科  5-7年" 1.5-2.5万/月 " 五险一金 员工旅游 绩效奖金 年终奖金 "
Python后端开发工程师 宁波-江北区 "外资（欧美） " " 本科  2年" 1.5-2万/月 " 五险一金 交通补贴 通讯补贴 年终奖金 "
Python开发工程师 宁波-江北区 "民营公司 " " 大专  无需经验" 6-9千/月 " 带薪年假 周末双休 五险一金 高温补贴 "
python开发工程师 镇江-句容市 "民营公司 " " 本科  3-4年" 1.5-2万/月 " "
Python开发工程师 杭州 "民营公司 " " 本科  5-7年" 1.5-2.5万/月 " 五险一金 补充医疗保险 员工旅游 餐饮补贴 "
Python开发工工程师 三门峡 "民营公司 " " 大专  1年" 4.5-6千/月 " 五险 周末双休 节假日休 绩效奖金 "
Python开发工程师 南昌-青山湖区 "民营公司 " " 大专  2年" 0.6-1万/月 " 五险一金 专业培训 通讯补贴 加班补贴 "
Python后端开发工程师 苏州 "外资（非欧美） " " 本科  1年" 6-8千/月 " 带薪年假 五险一金 包住宿 年终双薪 "
python后端开发工程师 成都 "合资 " " 本科  无需经验" 1.5-2万/月 " "
Python开发实习生 西安-碑林区 "民营公司 " " 大专  无需经验" 4.5-6千/月 " "
Python工程师 苏州-相城区 "民营公司 " " 大专  2年" 6-8千/月 " 五险一金 专业培训 周末双休 定期团建 "
Python工程师 苏州-吴中区 "民营公司 " " 本科  1年" 0.6-1万/月 " 五险一金 免费班车 餐饮补贴 年终奖金 "
Python高级开发工程师 苏州-吴中区 "民营公司 " " 本科  3-4年" 2-2.5万/月 " 五险一金 餐饮补贴 弹性工作 加班补贴 "
初级Python开发(J10648) 佛山-南海区 "民营公司 " " 本科  1年" 7-8千/月 " 五险一金 绩效奖金 员工旅游 餐饮补贴 "
"西门子中国研究院 Python工程师" 无锡 "外资（欧美） " " 本科  无需经验" 1.5-2万/月 " "
python工程师 长春 "上市公司 " " 本科  2年" 3-5千/月 " 餐饮补贴 通讯补贴 年终奖金 加班补贴 "
Python开发工程师 苏州-工业园区 "民营公司 " " 大专  2年" 1.8-2.5万/月 " 五险一金 绩效奖金 年终奖金 员工旅游 "
Python开发工程师 郑州-金水区 "民营公司 " " 大专  2年" 6-8千/月 " 五险一金 通讯补贴 出国机会 定期团建 "
Python开发工程师 南京-建邺区 "民营公司 " " 本科  1年" 0.8-1万/月 " "
Python开发实习生 西安-雁塔区 "民营公司 " " 大专  无需经验" 4.5-6千/月 " 五险一金 免费班车 交通补贴 餐饮补贴 "
Python开发工程师 苏州-工业园区 "上市公司 " " 本科  2年" 1.5-2万/月 " 五险一金 绩效奖金 股票期权 专业培训 "
Python开发工程师 杭州-滨江区 "民营公司 " " 本科  3-4年" 1.5-2万/月 " 做五休二 周末双休 带薪年假 五险一金 "
Python软件开发工程师 杭州-江干区 "民营公司 " " 本科  3-4年" 1.5-2万/月 " "
Python开发工程师 珠海-斗门区 "民营公司 " " 本科  2年" 0.8-1万/月 " 五险一金 年终奖金 弹性工作 定期体检 "
"Python Web开发工程师" 南昌-青山湖区 "上市公司 " " 本科  3-4年" 0.8-1万/月 " 五险一金 年终奖金 定期体检 节日福利 "
Python开发工程师 昆山 "民营公司 " " 大专  2年" 6-8千/月 " 五险一金 定期体检 年终奖金 绩效奖金 "
"Python Web 开发工程师助理" 合肥-高新区 "民营公司 " " 中专  1年" 0.8-1万/月 " 五险 绩效奖金 年终奖金 弹性工作 "
"Python开发助理 可实习 有住宿" 青岛-市南区 "民营公司 " " 大专  无需经验" 0.5-1万/月 " 五险一金 绩效奖金 年终奖金 早九晚六 "
Python开发工程师 武汉-洪山区 "民营公司 " " 本科  1年" 4.5-6千/月 " 带薪年假 绩效奖金 节日福利 员工旅游 "
装备软件开发高级工程师-Python 东莞-松山湖区 "合资 " " 本科  2年" 1.5-2.5万/月 " 五险一金 补充医疗保险 餐饮补贴 弹性工作 "
Python开发工程师(J10358) 武汉-洪山区 "民营公司 " " 本科  2年" 0.8-1万/月 " 五险一金 专业培训 年终奖金 周末双休 "
Python开发工程师（AI） 南京-建邺区 "民营公司 " " 本科  5-7年" 1.5-3万/月 " "
Python开发工程师 武汉-江汉区 "上市公司 " " 本科  3-4年" 1.8-3.2万/月 " 做五休二 五险一金 节日福利 交通补贴 "
python后端开发工程师 宁波-江北区 "国企 " " 本科  1年" 2-2.5万/月 " 带薪年假 五险一金 高温补贴 节日福利 "
Python开发工程师 东莞-松山湖区 "民营公司 " " 大专  3-4年" 1.5-2万/月 " 五险一金 免费班车 专业培训 绩效奖金 "
Python开发工程师 成都 "外资（非欧美） " " 大专  1年" 0.8-1万/月 " 绩效奖金 年终奖金 弹性工作 定期体检 "
python工程师 杭州-西湖区 "国企 " " 本科  2年" 1.5-3万/月 " 五险一金 餐饮补贴 定期体检 年终奖金 "
"python 工程师" 重庆-沙坪坝区 "外资（非欧美） " " 本科  3-4年" 0.8-1万/月 " 五险一金 免费班车 专业培训 年终奖金 "
后端开发工程师(Python) 南昌-青山湖区 "民营公司 " " 本科  2年" 0.6-1万/月 " 节日福利 餐饮补贴 绩效奖金 年终奖金 "
Python开发工程师 赣州 "民营公司 " " 大专  2年" 6-9千/月 " 节日福利 五险 专业培训 员工旅游 "
Python开发工程师 南京-雨花台区 "上市公司 " " 本科  3-4年" 1.5-3万/月 " 专业培训 五险一金 员工旅游 股票期权 "
Python高级开发工程师 杭州-滨江区 "民营公司 " " 本科  3-4年" 1.5-3万/月 " 五险一金 员工旅游 定期体检 股票期权 "
Python爬虫工程师 珠海-香洲区 "民营公司 " " 大专  1年" 0.5-1万/月 " 五险 绩效奖金 年终奖金 住房补贴 "
python开发工程师 温州 "民营公司 " " 本科  1年" 0.6-1万/月 " 绩效奖金 专业培训 员工旅游 五险 "
Python开发工程师 秦皇岛 "民营公司 " " 本科  2年" 4.5-9千/月 " 五险一金 绩效奖金 带薪年假 "
python程序员 烟台 "民营公司 " " 大专  1年" 0.5-1万/月 " 五险一金 补充医疗保险 免费班车 餐饮补贴 "
Python开发工程师 苏州-工业园区 "民营公司 " " 本科  3-4年" 1.5-2.5万/月 " 五险一金 员工旅游 专业培训 绩效奖金 "
Python开发工程师 信阳 "民营公司 " " 本科  1年" 6-8千/月 " "
Python开发工程师 成都-武侯区 "民营公司 " " 大专  1年" 0.8-1万/月 " 弹性工作 五险一金 绩效奖金 "
Python开发工程师/软件工程师 济南 "民营公司 " " 本科  2年" 0.8-1万/月 " 员工旅游 年终奖金 餐饮补贴 做五休二 "
Python软件开发工程师 江门 "民营公司 " " 大专  2年" 8-9千/月 " 五险一金 绩效奖金 专业培训 定期体检 "
Python后端工程师 武汉-江夏区 "民营公司 " " 本科  2年" 1.5-2.8万/月 " 五险一金 员工旅游 定期体检 补充医疗保险 "
"IT开发高级工程师 （Python、Golang 方向）" 苏州 "外资（非欧美） " " 本科  5-7年" 1.5-2万/月 " 五险一金 专业培训 年终奖金 "
Python开发工程师 温州-瓯海区 "民营公司 " " 大专  2年" 0.8-1万/月 " 五险一金 餐饮补贴 年终奖金 "
Python/PHP开发工程师 佛山-顺德区 "民营公司 " " 大专  3-4年" 0.8-1万/月 " 五险一金 员工旅游 专业培训 "
Python开发工程师 合肥-高新区 "民营公司 " " 本科  3-4年" 1.5-2万/月 " 五险一金 员工旅游 定期体检 弹性工作 "
Python开发工程师（可转正） 成都-武侯区 "民营公司 " " 无需经验" 4.5-6千/月 " 五险一金 补充公积金 员工旅游 出国机会 "
Python高级开发工程师 成都-天府新区 "事业单位 " " 本科  5-7年" 35-50万/年 " 国家项目历练 高端研发平台 各类人才计划 天府新区政策 "
Python开发工程师 西安-未央区 "国企 " " 本科  3-4年" 1.5-2万/月 " 五险一金 补充医疗保险 免费班车 通讯补贴 "
Python开发 杭州-滨江区 "国企 " " 大专  2年" 1.5-2万/月 " 年终奖金 餐饮补贴 定期体检 周末双休 "
Python爬虫工程师 杭州-滨江区 "民营公司 " " 2年" 2-2.5万/月 " 五险一金 年终奖金 餐饮补贴 周末双休 "
Python开发工程师 南京-秦淮区 "民营公司 " " 本科  1年" 0.8-1万/月 " 五险一金 员工旅游 餐饮补贴 绩效奖金 "
Python高级开发工程师 苏州-工业园区 "民营公司 " " 大专  3-4年" 1.5-1.7万/月 " 带薪年假 五险一金 节日福利 绩效奖金 "
Python开发工程师（大学讲师） 九江 "事业单位 " " 本科  1年" 0.5-1万/月 " 五险一金 餐饮补贴 定期体检 带薪寒暑假 "
Python工程师 沈阳 "民营公司 " " 大专  1年" 4.5-6千/月 " 五险一金 交通补贴 节日福利 带薪年假 "
Python开发工程师2170 苏州-高新区 "民营公司 " " 本科  3-4年" 2-2.5万/月 " 年底双薪 弹性工作 节日礼物 领导好 "
Python开发工程师（周末双休、五险一金） 宁波-高新区 "民营公司 " " 大专  2年" 0.8-1万/月 " 五险一金 绩效奖金 餐饮补贴 专业培训 "
Python开发工程师 苏州-工业园区 "民营公司 " " 本科  3-4年" 1.5-2万/月 " "
Python开发工程师 济南-市中区 "国企 " " 大专  1年" 0.8-1万/月 " "
Python爬虫工程师 东莞-南城区 "民营公司 " " 本科  3-4年" 0.8-1万/月 " "
Python开发工程师 天津-滨海新区 "民营公司 " " 本科  3-4年" 1.5-2.5万/月 " "
Python开发工程师 东莞-南城区 "民营公司 " " 本科  1年" 0.8-1万/月 " 五险一金 员工旅游 绩效奖金 年终奖金 "
软件开发工程师(python) 江门 "民营公司 " " 大专  1年" 4.2-9千/月 " 面谈 周末双休 带薪年假 节日福利 "
Python数据处理工程师 大连-中山区 "民营公司 " " 大专  3-4年" 0.6-1万/月 " "
Python开发工程师 郴州 "创业公司 " " 大专  2年" 0.5-1万/月 " 全勤奖 绩效奖金 专业培训 员工旅游 "
python爬虫开发工程师 珠海-横琴新区 "民营公司 " " 大专  1年" 5-8千/月 " 五险一金 餐饮补贴 交通补贴 周末双休 "
python爬虫工程师 张家口 "民营公司 " " 本科  1年" 6-8千/月 " 五险一金 年终奖金 定期体检 弹性工作 "
Python开发实习生 西安-碑林区 "民营公司 " " 大专  1年" 4.5-6千/月 " "
Python开发工程师（黄岛区） 青岛-黄岛区 "民营公司 " " 本科  1年" 0.5-1万/月 " 五险一金 定期体检 绩效奖金 通讯补贴 "
python开发助理 西安-莲湖区 "民营公司 " " 大专  无需经验" 4.5-6千/月 " 五险一金 补充医疗保险 补充公积金 员工旅游 "
python软件开发工程师 南京-江宁区 "民营公司 " " 本科  2年" 1.8-2.2万/月 " 五险一金 定期体检 专业培训 节日福利 "
C++/Python工程师（可视化方向） 成都-锦江区 "民营公司 " " 硕士  无需经验" 20-30万/年 " 五险一金 员工旅游 餐饮补贴 通讯补贴 "
Python高级开发工程师 南京-雨花台区 "民营公司 " " 本科  3-4年" 1.5-2万/月 " 五险一金 做五休二 "
"软件开发工程师(.Net, Python, Java)" 珠海 "外资（非欧美） " " 大专  2年" 0.8-1万/月 " 五险一金 交通补贴 餐饮补贴 绩效奖金 "
python爬虫工程师（中高级） 南京-建邺区 "民营公司 " " 本科  3-4年" 1.5-2.5万/月 " 五险一金 餐饮补贴 通讯补贴 绩效奖金 "
1.Python后端开发工程师 南京 "事业单位 " " 硕士  无需经验" 1.5-3万/月 " 五险一金 定期体检 绩效奖金 年底双薪 "
Python开发工程师 苏州-高新区 "民营公司 " " 本科  1年" 0.5-1万/月 " 五险一金 餐饮补贴 绩效奖金 "
Python研发工程师 杭州-萧山区 "民营公司 " " 本科  3-4年" 1.5-3万/月 " 五险一金 年终奖金 专业培训 弹性工作 "
"Python 开发工程师" 青岛-黄岛区 "民营公司 " " 本科  无需经验" 6-8千/月 " 五险一金 弹性工作 年终奖金 绩效奖金 "
python全栈工程师 珠海-珠海高新区 "外资（非欧美） " " 本科  2年" 0.6-1万/月 " "
Python网络爬虫工程师 南昌-红谷滩新区 "民营公司 " " 大专  1年" 0.8-1万/月 " "
Python开发工程师 东莞-厚街镇 "合资 " " 大专  2年" 1.5-2.2万/月 " 包住宿 节日福利 员工旅游 年终奖金 "
Python开发教师 青岛 "非营利组织 " " 本科  无需经验" 4-8千/月 " "
高级开发工程（C++，python） 武汉-洪山区 "民营公司 " " 大专  3-4年" 10-12万/年 " 五险一金 餐饮补贴 专业培训 绩效奖金 "
"Python Development Engineer_SO(上海)" 成都 "外资（欧美） " " 3-4年" 1.5-2万/月 " "
软件工程师（Python） 昆山 "上市公司 " " 本科  3-4年" 20-30万/年 " 五险一金 包吃 包住宿 年终奖金 "
Python/Odoo高级开发工程师 南京-栖霞区 "民营公司 " " 大专  3-4年" 1.5-2万/月 " 五险一金 年终奖金 绩效奖金 节日福利 "
Python开发工程师 成都 "民营公司 " " 本科  2年" 7-9千/月 " 五险一金 补充公积金 员工旅游 交通补贴 "
JAVA/Python开发工程师 苏州-高新区 "外资（非欧美） " " 本科  2年" 0.6-1万/月 " 五险一金 补充医疗保险 员工旅游 餐饮补贴 "
python 武汉-洪山区 "创业公司 " " 本科  1年" 0.8-1万/月 " 节日福利 专业培训 绩效奖金 五险 "
Python后端开发 珠海-香洲区 "国企 " " 本科  2年" 0.6-1万/月 " 五险一金 商业意外险 重疾险 餐饮补贴 "
"AI项目高级技术开发工程师（Python, C++, Java）" 杭州 "外资（欧美） " " 硕士  3-4年" 2-2.6万/月 " 五险一金 补充医疗保险 免费班车 交通补贴 "
python软件工程师 天津-西青区 "民营公司 " " 本科  1年" 0.5-1万/月 " 五险一金 餐饮补贴 交通补贴 绩效奖金 "
"程序开发   Python Java PHP" 杭州-西湖区 "政府机关 " " 本科  无需经验" 3.5-7千/月 " 餐饮补贴 通讯补贴 专业培训 绩效奖金 "
Python高级开发工程师 苏州-工业园区 "合资 " " 本科  无需经验" 1.5-2万/月 " 带薪年假 餐饮补贴 通讯补贴 专业培训 "
C++/Python技术开发人员 武汉-洪山区 "民营公司 " " 本科  1年" 0.8-1万/月 " 五险一金 员工旅游 年终奖金 弹性工作 "
Python程序设计专任教师 淮北 "事业单位 " " 硕士  无需经验" 4.5-6千/月 " 五险一金 员工旅游 专业培训 绩效奖金 "
嵌入式软件工程师 深圳 "民营公司 " " 本科  1年" 1-1.5万/月 " "
数据开发工程师 上海 "上市公司 " " 本科  2年" 1-1.5万/月 " "
Linux开发工程师 上海 "外资（非欧美） " " 本科  3-4年" 1-1.5万/月 " "
